Country,safe_water,sanitation_service,air_pollution,slum_population,co2_emissions,smoking_male,smoking_female,tuberculosis,HIV_total,HIV_male,HIV_female,HIV_youth_male,HIV_youth_female,HIV_therapy,diabetes
South Africa,,,25.1,23.0,9.0,33.0,8.0,520.0,20.4,38.0,62.0,3.7,11.3,62.0,12.7
South Sudan,,,44.8,95.6,0.1,,,146.0,2.5,41.0,59.0,0.7,1.2,16.0,10.2
Spain,98.4,96.6,9.7,,5.0,31.0,27.0,9.0,0.3,82.0,18.0,0.1,0.1,84.0,6.9
Sri Lanka,,,14.0,,0.9,27.0,0.0,64.0,0.1,70.0,30.0,0.1,0.1,45.0,10.7
St_Kitts and Nevis,,,,,4.5,,,0.0,,,,,,,13.3
St_ucia,,,22.4,,2.3,,,3.0,,,,,,,11.6
St_Martin,,,,,,,,,,,,,,,
St_Vincent and the Grenadines,,,22.1,,1.9,,,6.0,,,,,,,11.6
Sudan,,,54.1,91.6,0.3,,,71.0,0.2,53.0,47.0,0.1,0.1,15.0,22.1
Suriname,,,25.3,7.3,3.6,43.0,7.0,38.0,1.4,57.0,43.0,0.3,0.3,52.0,12.5
Sweden,99.9,93.4,6.1,,4.5,19.0,19.0,6.0,,,,,,,4.8
Switzerland,95.5,99.5,10.3,,4.3,29.0,23.0,6.0,,,,,,,5.7
Syrian Arab Republic,,,43.7,19.3,1.6,,,19.0,0.1,69.0,31.0,0.1,0.1,20.0,13.5
Tajikistan,47.9,,43.4,,0.6,,,84.0,0.2,72.0,28.0,0.1,0.1,46.0,6.1
Tanzania,,25.4,28.4,50.7,0.2,27.0,3.0,253.0,4.6,40.0,60.0,1.2,2.2,71.0,5.7
Thailand,,,26.3,25.0,4.6,39.0,2.0,153.0,1.1,56.0,44.0,0.3,0.2,75.0,7.0
Timor_Leste,,,20.0,,0.4,78.0,6.0,498.0,,,,,,,6.7
Togo,,,37.1,51.2,0.4,14.0,1.0,36.0,2.3,36.0,64.0,0.5,1.0,60.0,2.4
Tonga,,,11.0,,1.2,44.0,12.0,10.0,,,,,,,15.7
